"AyahText","NomSouratAr","NomSouratFr","NomSouratTraduction","DatabaseID","SuraID","VerseID","AyahTextHarakat"
 بسم الله الرحمن الرحيم , الفاتحة, AL-FATIHA , PROLOGUE ,1,1,1,"بِسْمِ اللَّهِ الرَّحْمَٰنِ الرَّحِيمِ"
الحمد لله رب العلمين, الفاتحة, AL-FATIHA , PROLOGUE ,1,1,2,"الْحَمْدُ لِلَّهِ رَبِّ الْعَالَمِينَ"
الرحمن الرحيم, الفاتحة, AL-FATIHA , PROLOGUE ,1,1,3,"الرَّحْمَٰنِ الرَّحِيمِ"
ملك يوم الدين, الفاتحة, AL-FATIHA , PROLOGUE ,1,1,4,"مَالِكِ يَوْمِ الدِّينِ"
إياك نعبد وإياك نستعين, الفاتحة, AL-FATIHA , PROLOGUE ,1,1,5,"إِيَّاكَ نَعْبُدُ وَإِيَّاكَ نَسْتَعِينُ"
اهدنا الصرط المستقيم, الفاتحة, AL-FATIHA , PROLOGUE ,1,1,6,"اهْدِنَا الصِّرَاطَ الْمُسْتَقِيمَ"
صرط الذين أنعمت عليهم غير المغضوب عليهم ولا الضالين, الفاتحة, AL-FATIHA , PROLOGUE ,1,1,7,"صِرَاطَ الَّذِينَ أَنْعَمْتَ عَلَيْهِمْ غَيْرِ الْمَغْضُوبِ عَلَيْهِمْ وَلَا الضَّالِّينَ"
الم , البقرة , AL-BAQARAH , LA VACHE ,1,2,1,"بِسْمِ اللَّهِ الرَّحْمَٰنِ الرَّحِيمِ الم"
ذلك الكتب لا ريب فيه هدى للمتقين , البقرة , AL-BAQARAH , LA VACHE ,1,2,2,"ذَٰلِكَ الْكِتَابُ لَا رَيْبَ ۛ فِيهِ ۛ هُدًى لِلْمُتَّقِينَ"
الذين يؤمنون بالغيب ويقيمون الصلوة ومما رزقنهم ينفقون , البقرة , AL-BAQARAH , LA VACHE ,1,2,3,"الَّذِينَ يُؤْمِنُونَ بِالْغَيْبِ وَيُقِيمُونَ الصَّلَاةَ وَمِمَّا رَزَقْنَاهُمْ يُنْفِقُونَ"
والذين يؤمنون بما انزل اليك وما انزل من قبلك وبالاخرة هم يوقنون , البقرة , AL-BAQARAH , LA VACHE ,1,2,4,"وَالَّذِينَ يُؤْمِنُونَ بِمَا أُنْزِلَ إِلَيْكَ وَمَا أُنْزِلَ مِنْ قَبْلِكَ وَبِالْآخِرَةِ هُمْ يُوقِنُونَ"
